prefix,middle,suffix,completion
"import { useTranslation } from 'react-i18next'
import { toast } from 'react-toastify'

import { useAuth } from '@/auth'
import { useCheckoutMutation } from '@/shared/api/paymentsQuery'
import { useGetProductsQuery } from '@/shared/api/productsQuery'
import Skeleton from '@/shared/components/skeleton/Skeleton'
import LoadingWrapper from '@/shared/components/wrapper/LoadingWrapper'
import { PageWrapper } from '@/shared/components/wrapper/PageWrapper'
import { IProduct } from '@/shared/model/products'

import { ProductCard } from './components/ProductCard'
import { ProductsWrapper } from './productsElements'
import useDimBreakpoints from '@/shared/utils/useDimBreakpoints'

const Products = () => {
  const { t } = useTranslation()
  const auth = useAuth()
  const { md } = useDimBreakpoints()
  const { data: products, isLoading } = useGetProductsQuery('pl')
  const { mutateAsync: checkoutMutation } = useCheckoutMutation()

  const handleCheckout = (productId: string) => {
    if (!auth.decodedUser) throw new Error('No user')
    return toast.promise(
      checkoutMutation({
        customerId: auth.decodedUser?.id,
        productId,
        paymentMethodTypes: ['card'],
      }).then((res) => {
        window.location.href = res.url
      }),
      {
        pending: t('products.toast.pending'),
        success: t('products.toast.success'),
        error: t('products.toast.checkoutErr'),
      },
    )
  }

  if (isLoading || !products) {
    return (
      <LoadingWrapper>
        <Skeleton
          repeat={1}
          fullWidth
        />
        <Skeleton",          height={md ? 500 : 300},"          width={md ? 300 : 1000}
        />
      </LoadingWrapper>
    )
  }

  return (
    <PageWrapper>
      <h1 className='page-wrapper-gradient'>{t('products.title')}</h1>
      <ProductsWrapper>
        {products.map((product: IProduct, idx: number) => {
          return (
            <ProductCard
              key={idx}
              index={idx}
              name={product.name}
              description={product.shortDescription}
              price={product.prize}
              onCheckout={handleCheckout}
            />
          )
        })}
      </ProductsWrapper>
    </PageWrapper>
  )
}

export default Products
",_wrapper>
"import { Link } from '@tanstack/react-router'
import { motion } from 'framer-motion'
import { useTranslation } from 'react-i18next'
import { AiFillProduct } from 'react-icons/ai'
import { CgProfile } from 'react-icons/cg'
import { FaSignOutAlt } from 'react-icons/fa'
import { GrLicense } from 'react-icons/gr'

import { useAuth } from '@/auth'
import { router } from '@/main'

import LogoText from '@assets/logo_text.webp'

const variants = {
  open: {
    transition: { staggerChildren: 0.07, delayChildren: 0.2 },
  },
  closed: {
    transition: { staggerChildren: 0.05, staggerDirection: -1 },
  },
}

const itemVariants = {
  open: {
    y: 0,
    opacity: 1,
    transition: {
      y: { stiffness: 1000, velocity: -100 },
    },
  },
  closed: {
    y: 50,
    opacity: 0,
    transition: {
      y: { stiffness: 1000 },
    },
  },
}
",const logoVariants = {,"  open: {
    y: 0,
    opacity: 1,
    transition: {
      delay: 0.3,
      y: { stiffness: 1000, velocity: -100 },
    },
  },
  closed: {
    y: 50,
    opacity: 0,
    transition: {
      y: { stiffness: 1000 },
    },
  },
}

export const NavbarNavigation = ({ toggle }: { toggle: (isOpen: boolean) => void }) => {
  const { t } = useTranslation()
  const { logout } = useAuth()

  return (
    <>
      <motion.div
        className='navbar-logo'
        variants={logoVariants}
        whileTap={{ scale: 0.95 }}
        onClick={() => {
          router.navigate({ to: '/' })
          toggle(false)
        }}
      >
        <img
          src={LogoText}
          alt='logo'
        />
      </motion.div>
      <motion.ul variants={variants}>
        <motion.li
          variants={itemVariants}
          whileTap={{ scale: 0.95 }}
          onClick={() => toggle(false)}
        >
          <AiFillProduct />
          <Link to='/products'>{t('navbar.products')}</Link>
        </motion.li>
        <motion.li
          variants={itemVariants}
          whileTap={{ scale: 0.95 }}
          onClick={() => toggle(false)}
        >
          <GrLicense />
          <Link to='/myProducts'>{t('navbar.myProducts')}</Link>
        </motion.li>
        <motion.li
          variants={itemVariants}
          whileTap={{ scale: 0.95 }}
          onClick={() => toggle(false)}
        >
          <CgProfile />
          <Link to='/profile'>{t('navbar.profile')}</Link>
        </motion.li>
        <motion.li
          variants={itemVariants}
          whileTap={{ scale: 0.95 }}
          onClick={() => toggle(false)}
        >
          <FaSignOutAlt />
          <div
            onClick={() => {
              toggle(false)
              logout()
            }}
            aria-hidden='true'
          >
            {t('navbar.signOut')}
          </div>
        </motion.li>
      </motion.ul>
    </>
  )
}
",const itemVariants2 = {
"import {
  arrow,
  flip,
  FloatingPortal,
  shift,
  useDismiss,
  useFloating,
  useFocus,
  useHover,
  useInteractions,
  useRole,
} from '@floating-ui/react'
import { useRef, useState } from 'react'

import { TooltipArrow, TooltipContent, TooltipWrapper } from './tooltipElements'

export interface ITooltip {
  children: JSX.Element[] | JSX.Element
  content: string
  placement?:
    | 'top'
    | 'right'
    | 'bottom'
    | 'left'
    | 'top-start'
    | 'top-end'
    | 'right-start'
    | 'right-end'
    | 'bottom-start'
    | 'bottom-end'
    | 'left-start'
    | 'left-end'
}

const Tooltip = ({ children, content, placement }: ITooltip) => {
  const arrowRef = useRef(null)
  const [isOpen, setIsOpen] = useState(false)

  const { refs, floatingStyles, context } = useFloating({
    open: isOpen,
    onOpenChange: setIsOpen,
    middleware: [
      arrow({
        element: arrowRef,
      }),
      flip(),
      shift(),
    ],
    placement,
  })

  const hover = useHover(context, {
    delay: {
      open: 200,
      close: 100,
    },
  })

  const role = useRole(context, {
    role: 'tooltip',
  })

  const focus = useFocus(context)

  const dismiss = useDismiss(context)

  const { getReferenceProps, getFloatingProps } = useInteractions([hover, role, focus, dismiss])

  return (
    <>
      <TooltipWrapper
        ref={refs.setReference}
        {...getReferenceProps()}
      >
        {children}
      </TooltipWrapper>
      {isOpen && (
        <FloatingPortal>
          <TooltipContent
            ref={refs.setFloating}
            style={floatingStyles}
            {...getFloatingProps()}
          >
            {content}
            <TooltipArrow
              ref={arrowRef}",              context={context},"            />
          </TooltipContent>
        </FloatingPortal>
      )}
    </>
  )
}

export default Tooltip
",}
"import { useEffect, useState } from 'react'

import { commonTheme } from '../theme/commonTheme'

const useDimBreakpoints = () => {
  const [matches, setMatches] = useState({
    xs: false,
    s: false,
    md: false,
    lg: false,
    xl: false,
    xxl: false,
    xxxl: false,
  })

  useEffect(() => {
    const breakpoints = commonTheme.breakpoint
    const mediaQueries = {
      xs: window.matchMedia(`(max-width: ${breakpoints.xs})`),
      s: window.matchMedia(`(max-width: ${breakpoints.s})`),
      md: window.matchMedia(`(max-width: ${breakpoints.md})`),
      lg: window.matchMedia(`(max-width: ${breakpoints.lg})`),
      xl: window.matchMedia(`(max-width: ${breakpoints.xl})`),
      xxl: window.matchMedia(`(max-width: ${breakpoints.xxl})`),
      xxxl: window.matchMedia(`(max-width: ${breakpoints.xxxl})`),
    }

    const handleMediaQueryChange = () => {
      setMatches({
        xs: mediaQueries.xs.matches,
        s: mediaQueries.s.matches,
        md: mediaQueries.md.matches,
        lg: mediaQueries.lg.matches,
        xl: mediaQueries.xl.matches,
        xxl: mediaQueries.xxl.matches,","        xxxl: mediaQueries.xxxl.matches,","      })
    }

    handleMediaQueryChange()

    for (const mq of Object.values(mediaQueries)) {
      if (mq.addEventListener) {
        mq.addEventListener('change', handleMediaQueryChange)
      } else {
        mq.addListener(handleMediaQueryChange)
      }
    }

    return () => {
      for (const mq of Object.values(mediaQueries)) {
        if (mq.removeEventListener) {
          mq.removeEventListener('change', handleMediaQueryChange)
        } else {
          mq.removeListener(handleMediaQueryChange)
        }
      }
    }
  }, [])

  return matches
}

export default useDimBreakpoints
","xxxl: mediaQueries.xxxl.matches,"
"/* eslint-disable eslint-comments/no-use */
import { ChangeEvent } from 'react'

import { Size } from '@/shared/model/common'

import { Input, InputError, InputLabel, InputWrapper } from './InputFile.styled'

interface InputFileProps {
  id: string
  onChange: (v: FileList) => void
  // eslint-disable-next-line @typescript-eslint/no-explicit-any
  onClick?: (v: any) => void
  onBlur?: () => void
  error?: string
  label?: string
  disabled?: boolean
  size?: Size
  fullWidth?: boolean
  required?: boolean
  multiple?: boolean
  accept?: string
}

const InputFile = ({
  id,
  onChange,
  onClick,
  onBlur,
  error,
  label,
  disabled,
  size = 'md',
  fullWidth = false,
  required,
  multiple,
  accept,
}: InputFileProps) => {
  const handleChange = (event: ChangeEvent<HTMLInputElement>) => {
    event.target.files && onChange(event.target.files)
    //TODO request to post file to server
  }

  const handleClick = (event: React.MouseEvent<HTMLInputElement>) => {
    onClick?.(event.target)
  }

  const handleBlur = () => {
    onBlur?.()
  }

  return (
    <InputWrapper $fullWidth={fullWidth}>
      {label && (
        <InputLabel
          htmlFor={id}
          $size={size}
        >
          {label}
          {required && '*'}
        </InputLabel>
      )}
      <Input
        id={id}
        type='file'
        onChange={handleChange}
        onClick={handleClick}",        onBlur={handleBlur},"        disabled={disabled}
        multiple={multiple}
        accept={accept}
        $size={size}
      />
      <InputError>{error}</InputError>
    </InputWrapper>
  )
}

export default InputFile
",}
"import { AsYouType } from 'libphonenumber-js'
import { ChangeEvent, useRef } from 'react'
import type { AriaTextFieldProps } from 'react-aria'
import { useTextField } from 'react-aria'

import { Size } from '@/shared/model/common'

import { Input, InputError, InputLabel, InputLabelFloat, InputWrapper } from './InputText.styled'

type InputType = 'text' | 'password' | 'email' | 'number' | 'tel'

interface InputTextProps extends AriaTextFieldProps {
  // eslint-disable-next-line @typescript-eslint/no-explicit-any
  onClick?: (e: any) => void
  error?: string
  size?: Size
  type?: InputType
  fullWidth?: boolean
  floatLabel?: boolean
}

const InputText = (props: InputTextProps) => {
  const ref = useRef(null)
  const { labelProps, inputProps } = useTextField(props, ref)

  const {
    id,
    label,
    type,
    onChange,
    size = 'md',
    fullWidth = false,
    isRequired = false,
    floatLabel = false,
    isDisabled = false,
    placeholder,
    error,
  } = props

  const handleChange = (event: ChangeEvent<HTMLInputElement>) => {
    if (type === 'tel') {
      const formattedPhoneNumber = new AsYouType().input(event.target.value)
      onChange?.(formattedPhoneNumber)
    } else {
      onChange?.(event.target.value)
    }
  }

  return (
    <InputWrapper
      $fullWidth={fullWidth}
      $floatLabel={floatLabel}
      $size={size}
    >
      {label && !floatLabel && (
        <InputLabel
          htmlFor={id}
          $size={size}
          {...labelProps}
        >
          {label}
          {isRequired && '*'}
        </InputLabel>
      )}
      <Input
        ref={ref}",        aria-labelledby={id},"        {...inputProps}
        placeholder={floatLabel ? '' : placeholder}
        onChange={handleChange}
        $disabled={isDisabled}
        $floatLabel={floatLabel}
        $size={size}
      />
      {label && floatLabel && (
        <InputLabelFloat
          htmlFor={id}
          $size={size}
        >
          {label}
          {isRequired && '*'}
        </InputLabelFloat>
      )}
      <InputError>{error}</InputError>
    </InputWrapper>
  )
}

export default InputText
",}
"import { Link } from '@tanstack/react-router'
import { motion } from 'framer-motion'
import { useEffect, useState } from 'react'
import { useTranslation } from 'react-i18next'
import { CgProfile } from 'react-icons/cg'

import getTheme from '@/shared/utils/getTheme'

import LogoText from '@assets/logo_text.webp'
import Menu from './menu/Menu'
import { NavbarLogo, NavbarMenu, NavbarWrapper } from './NavbarElements'

const Navbar = () => {
  const { t } = useTranslation()
  const [isMenuOpen, setMenuOpen] = useState<boolean>(false)
  const theme = getTheme()

  useEffect(() => {
    setMenuOpen(false)
  }, [window.location.href])

  return (
    <>
      <Menu
        isOpen={isMenuOpen}
        theme={theme}
        setMenuOpen={setMenuOpen}
      />
      <NavbarWrapper>
        <NavbarLogo to='/'>
          <img
            src={LogoText}
            alt='logo'
          />
        </NavbarLogo>
        <NavbarMenu>
          <Link to='/products'>{t('navbar.products')}</Link>
          <Link to='/myProducts'>{t('navbar.myProducts')}</Link>
          <motion.span whileTap={{ scale: 0.95 }}>
            <CgProfile onClick={() => setMenuOpen((prev) => !prev)} />
          </motion.span>
        </NavbarMenu>
      </NavbarWrapper>
    </>
  )
}
",export default Navbar,,const { navbar } = useState<NavbarWrapper>
"/* eslint-disable eslint-comments/no-use */
import { ChangeEvent } from 'react'

import { Size } from '@/shared/model/common'

import { Input, InputError, InputLabel, InputWrapper } from './InputFile.styled'

interface InputFileProps {
  id: string
  onChange: (v: FileList) => void
  // eslint-disable-next-line @typescript-eslint/no-explicit-any
  onClick?: (v: any) => void
  onBlur?: () => void
  error?: string
  label?: string
  disabled?: boolean
  size?: Size
  fullWidth?: boolean
  required?: boolean
  multiple?: boolean
  accept?: string
}

const InputFile = ({
  id,
  onChange,
  onClick,
  onBlur,
  error,
  label,
  disabled,
  size = 'md',
  fullWidth = false,
  required,
  multiple,
  accept,
}: InputFileProps) => {
  const handleChange = (event: ChangeEvent<HTMLInputElement>) => {
    event.target.files && onChange(event.target.files)
    //TODO request to post file to server
  }

  const handleClick = (event: React.MouseEvent<HTMLInputElement>) => {
    onClick?.(event.target)
  }

  const handleBlur = () => {
    onBlur?.()
  }

  return (
    <InputWrapper $fullWidth={fullWidth}>
      {label && (
        <InputLabel
          htmlFor={id}
          $size={size}
        >
          {label}
          {required && '*'}
        </InputLabel>
      )}
      <Input
        id={id}
        type='file'
        onChange={handleChange}
        onClick={handleClick}
        onBlur={handleBlur}",        disabled={disabled},"        multiple={multiple}
        accept={accept}
        $size={size}
      />
      <InputError>{error}</InputError>
    </InputWrapper>
  )
}

export default InputFile
",}
"import { useRef } from 'react'
import { useButton } from 'react-aria'
import type { ButtonProps } from 'react-aria-components'

import { Size } from '@/shared/model/common'

import { ButtonStyled } from './buttonElements'

type ButtonAnimations = 'hover' | 'tap' | 'gradient'

export interface IButton extends ButtonProps {
  label: string
  btnType?: 'primary' | 'secondary'
  isDisabled?: boolean
  fullWidth?: boolean
  onClick?: () => void
  size?: Size
  iconStart?: JSX.Element | JSX.Element[]
  iconEnd?: JSX.Element | JSX.Element[]
  pill?: number
  animations?: ButtonAnimations[]
}

const Button = (props: IButton) => {
  const ref = useRef(null)
  const { buttonProps } = useButton(props, ref)

  const {
    label,
    btnType = 'primary',
    isDisabled = false,
    fullWidth = false,
    onClick,
    size = 'md',
    iconStart,
    iconEnd,
    pill = 1,
    animations,
  } = props

  return (
    //@ts-expect-error Conflict of interfaces
    <ButtonStyled
      ref={ref}
      btnType={btnType}
      onClick={onClick}
      fullWidth={fullWidth}
      size={size}
      disabled={isDisabled}",      isDisabled={isDisabled},"      pill={pill}
      animations={animations}
      {...buttonProps}
      layout
      animate={
        !isDisabled && animations?.includes('gradient') ?
          { backgroundPosition: ['0% 50%', '100% 50%', '0% 50%'] }
        : {}
      }
      transition={
        !isDisabled && animations?.includes('gradient') ?
          {
            backgroundPosition: { duration: 8, ease: 'easeInOut', repeat: Infinity },
          }
        : {}
      }
      whileHover={
        !isDisabled && animations?.includes('hover') ?
          { scale: 0.95, transition: { duration: 0.1, repeat: 0, ease: 'easeInOut' } }
        : {}
      }
      whileTap={
        !isDisabled && animations?.includes('tap') ?
          { scale: 0.9, transition: { duration: 0.1, repeat: 0, ease: 'easeInOut' } }
        : {}
      }
    >
      {iconStart}
      {label}
      {iconEnd}
    </ButtonStyled>
  )
}

export default Button
",{disabled}
"import { Size } from '@/shared/model/common'

import { Input, InputError, InputLabel, InputWrapper, Span } from './InputRadio.styled'

interface InputRadioProps {
  id: string
  name: string
  label: string
  value?: string
  required?: boolean
  isChecked?: boolean
  disabled?: boolean
  size?: Size
  error?: string
  onChange: (value: string) => void
  onBlur?: () => void
}

const InputRadio = ({
  id,
  name,
  value,
  label,
  required = false,
  isChecked = false,
  disabled = false,
  size = 'md',
  error,
  onChange,
  onBlur,
}: InputRadioProps) => {
  const handleChange = () => {
    value && onChange(value)
  }

  const handleBlur = () => {
    onBlur?.()
  }

  return (
    <InputWrapper>
      <Input
        type='radio'
        id={id}
        name={name}
        value={value}
        checked={isChecked}",        onChange={handleChange},"        onBlur={handleBlur}
        disabled={disabled}
        $size={size}
      />
      <InputLabel
        htmlFor={id}
        $size={size}
      >
        <Span $size={size}>{label}</Span>
        {required && '*'}
      </InputLabel>
      <InputError>{error}</InputError>
    </InputWrapper>
  )
}

export default InputRadio
",disabled={disabled}
